Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,SMB,HML,Mkt-RF
200106,2.2089,2.4276,4.352,3.0781,0.8431,6.6887,10.2339,5.7804,6.6346,4.8601,5.0946,-1.4154,1.4497,0.0548,1.123,3.6089,-1.2591,-0.6938,-3.4696,3.5989,-2.2855,-3.2659,-0.3102,-1.9328,-3.0661,6.24,-1.13,-1.94
200107,-9.1247,-7.0842,-4.0513,0.281,-0.0908,-10.4984,-7.8572,-5.8368,-3.3649,-4.0754,-9.0767,-4.7422,-2.1509,-0.3578,-2.0372,-4.9036,-0.4469,-0.5722,1.5725,-0.2467,-1.5851,-0.0666,-1.5525,-4.3495,7.5709,-4.19,5.21,-2.13
200108,-8.3332,-5.5551,-3.7471,-1.64,-0.9015,-10.1011,-3.8791,-3.026,-1.6673,-1.1522,-7.3853,-2.9303,-2.6941,-2.3053,0.3374,-7.3466,-3.856,-3.7015,-1.537,-8.9144,-7.3,-4.2075,-2.653,-8.3695,-8.3486,2.48,2.3,-6.46
200109,-16.2816,-15.2885,-10.1565,-10.0708,-12.7027,-18.9157,-15.4893,-12.778,-15.1279,-16.22,-15.5733,-12.7668,-11.9792,-13.5069,-18.861,-16.0825,-12.9978,-10.4231,-14.4112,-15.154,-7.2061,-10.9302,-6.5791,-11.4259,1.6352,-6.23,1.45,-9.25
200110,8.951,8.2389,6.0553,5.126,4.3313,11.6172,8.0076,5.8664,2.8893,4.234,13.6978,6.1219,3.7307,5.2432,9.6002,8.3577,3.4837,1.3166,4.052,1.9946,3.4254,-0.5718,-2.0874,1.902,-14.6371,7.49,-7.66,2.46
200111,6.3246,10.9565,5.3748,5.7462,6.6429,10.1331,8.0962,6.5692,9.5323,12.7099,10.0183,6.2495,6.9142,9.5663,13.0824,10.4135,9.0584,6.7491,10.3308,8.7861,7.4963,8.8008,4.5189,11.2488,11.2876,-0.47,2.22,7.54
200112,13.2134,6.0744,6.0777,5.7205,7.1388,8.1989,5.6799,6.6485,7.869,7.4155,5.4002,6.118,7.8559,5.3774,4.377,3.901,4.7297,4.8537,6.8833,3.7795,-0.0495,2.604,3.6248,0.4565,1.3074,4.73,0.85,1.6
200201,-8.1033,-1.4701,2.4252,3.3751,4.8933,-6.5862,-2.4985,-0.2658,1.3354,1.6014,-4.9242,-1.7429,-0.7913,2.4871,5.2901,-4.1941,-0.0406,1.4564,2.6373,-3.8019,-0.7371,-2.2337,-0.5926,-1.8211,-9.1858,1.19,3.44,-1.44
200202,-10.5738,-5.6267,-4.4226,-1.3869,-3.1227,-9.7576,-4.5103,-1.1034,0.7426,-0.4715,-7.2686,-0.5833,0.1791,-0.4126,3.7114,-4.1855,0.7356,2.5174,-4.4114,3.4047,-2.515,0.4698,0.377,-3.4058,-12.7631,-1,2.16,-2.29
200203,5.7983,7.6722,8.6886,8.2754,9.3253,8.773,9.1453,7.3594,8.2094,11.7555,8.5639,6.912,6.7964,7.7161,8.9006,6.7603,6.6457,5.9896,4.6282,8.0056,2.9804,6.1166,3.4226,9.2375,0.1097,4.21,1.06,4.24
