date,T_BILL_3_MO,SP_CONSUM_DIS,SP_HEALTH,SP_TELE_COMM,SP_FINANCE,SP_UTIL,SP_500,SP_CONSUM_STAPLE,SP_MATERIALS,SP_INFO_TECH,SP_ENEGY
20020801,0.0164,0.027500363,0.011377801,-0.017510217,0.021503235,0.032454032,0.004881433,0.010145953,-0.006939494,-0.012117959,-0.004372804
20020901,0.0153,-0.08590048,-0.063121143,-0.137554571,-0.114392209,-0.131370738,-0.110024318,-0.071995295,-0.128284762,-0.163594195,-0.085408551
20021001,0.0142,0.064749775,0.050578455,0.317400075,0.086500417,-0.020050916,0.0864488,0.033533003,0.047957714,0.202938144,0.028915744
20021101,0.012,0.032203215,0.026635462,0.120749278,0.041514805,0.022012565,0.057069621,-0.028227379,0.118184983,0.180783672,0.030199049
20021201,0.0118,-0.089527706,-0.038541907,-0.077384018,-0.058444831,0.037131338,-0.060332572,0.002105846,-0.044395957,-0.162597037,-0.005160783
20030101,0.0115,-0.03526397,-0.006021319,-0.072617933,-0.022647208,-0.034926453,-0.027414693,-0.03698633,-0.050968915,-0.029634613,-0.025937858
20030201,0.0117,-0.009164509,-0.019602062,-0.083956507,-0.032883627,-0.054122571,-0.017003608,-0.029119269,-0.029684276,0.019781953,0.015593442
20030301,0.0109,0.026249662,0.031042921,-0.003917734,-0.009618449,0.04545962,0.008357568,-0.007097754,-0.000795439,-0.019215235,0.005380748
20030401,0.011,0.114617418,0.033302272,0.088854921,0.119626094,0.08392953,0.081044107,0.02890933,0.091809704,0.084798925,-0.009458607
20030501,0.0109,0.051759395,0.01706715,0.066960707,0.051331122,0.099388701,0.05089871,0.046780061,0.028525094,0.083612564,0.077857391
20030601,0.0084,0.01183432,0.041600475,0.030759171,0.00045483,0.007797052,0.011322215,0.007170738,0.005905047,-0.011622605,-0.010915337
20030701,0.0093,0.022483431,-0.013745683,-0.061485436,0.029212105,-0.067538677,0.016223702,-0.006349041,0.078343918,0.056220313,-0.025052568
20030801,0.0096,0.050006893,-0.03785164,-0.001061782,-0.011851125,0.013834602,0.017873204,0.019317106,0.028444948,0.058726276,0.056658387
20030901,0.0093,-0.047889295,0.00269365,-0.043427909,0.004466877,0.042250923,-0.011944365,-0.004404434,-0.047346928,-0.012723707,-0.024432855
20031001,0.0093,0.088600642,0.006204022,0.044153276,0.065491314,0.008399569,0.054961487,0.047218763,0.090296772,0.074067671,0.003868247
20031101,0.0091,0.006598269,0.014571893,-0.014455045,-0.00477285,-0.004296485,0.007128504,0.008486267,0.02049823,0.010477966,-0.001773812
20031201,0.0091,0.03581837,0.055927971,0.087853002,0.04446587,0.063415049,0.050765541,0.016093804,0.098020948,0.018208176,0.131448725
20040101,0.009,-0.009914507,0.026552744,0.037573036,0.029704532,0.017638653,0.017276387,0.000447274,-0.048200792,0.031671971,0.012040657
20040201,0.0093,0.020851079,0.004806788,0.018162934,0.024197055,0.015851969,0.012208974,0.05593026,0.049275178,-0.037267821,0.043870504
20040301,0.0092,-0.001589485,-0.041698973,-0.015035714,-0.011875087,0.007434608,-0.01635892,-0.005838261,-0.020965833,-0.026756726,-0.006736131
20040401,0.0095,-0.016159194,0.030557469,-0.005778337,-0.04855075,-0.039169526,-0.016790752,0.011191921,-0.048338259,-0.046902316,0.016464068
20040501,0.0105,0.006877288,-0.003555898,-0.041030498,0.01700943,0.004726515,0.01208345,-0.013466867,0.021397039,0.049177081,0.000965112
20040601,0.013,0.004419648,-0.003428125,0.030303016,0.002948403,0.0123488,0.017988999,0.002260894,0.049028951,0.027588566,0.051479896
20040701,0.0141,-0.03980164,-0.054220974,0.031255465,-0.023179592,0.014106688,-0.03429052,-0.049627597,-0.022094078,-0.075465258,0.033211013
20040801,0.0157,-0.001624727,0.015621801,0.011408173,0.032198775,0.036249082,0.00228735,0.018764846,0.015641514,-0.053958955,-0.013852967
20040901,0.0167,0.0288755,-0.018698522,0.011616138,-0.010552923,0.006080261,0.009363876,-0.029628936,0.036851425,0.028960851,0.083698602
20041001,0.0187,0.040434769,-0.022225525,0.008986535,0.00221648,0.046385711,0.014014244,0.005889226,-0.008192853,0.052368995,0.006174369
20041101,0.0218,0.039448019,0.015296601,0.039666811,0.02778868,0.037653681,0.038594936,0.028688572,0.075414525,0.047899276,0.057238145
20041201,0.0218,0.04590111,0.056299047,0.024034318,0.040631851,0.023565201,0.032493324,0.037564037,0.012102051,0.028237091,-0.020297956
20050101,0.0242,-0.041807113,-0.032384175,-0.075987643,-0.023110982,0.019138357,-0.025290467,0.010886543,-0.031067362,-0.052465419,0.02716279
